"Title","Type","Price","Area","Msg","Review","href","Enhance"
"台北101對面基隆路2段144巷，捷運旁","獨立套房   |  7坪   |  樓層：2/4","8,900 元/月","大安區-基隆路二段144巷","屋主王先生/38分鐘內更新/388人瀏覽","388人","https://rent.591.com.tw/rent-detail-11237599.html","黄金曝光"
"台北101對面基隆路2段144巷，捷運旁","獨立套房   |  6坪   |  樓層：2/4","8,700 元/月","大安區-基隆路二段144巷","屋主王先生/2小時內更新/383人瀏覽","383人","https://rent.591.com.tw/rent-detail-11237617.html","黄金曝光"
"近六張犁捷運站小套房，可短租","獨立套房   |  5坪   |  樓層：5/5","9,500 元/月","大安區-富陽街44巷10弄8號","屋主陳小姐/58分鐘內更新/207人瀏覽","207人","https://rent.591.com.tw/rent-detail-11264703.html","VIP"
"近忠孝新生及大安森林優質套房(限本國籍)","獨立套房   |  6坪   |  樓層：4/5","8,500 元/月","大安區-新生南路一段139巷","代理人羅先生/58分鐘內更新/476人瀏覽","人","https://rent.591.com.tw/rent-detail-11278023.html","VIP"
"全新獨立套房","獨立套房   |  8坪   |  樓層：1/1","9,000 元/月","大安區-和平東路三段632巷","屋主盧先生/58分鐘內更新/329人瀏覽","329人","https://rent.591.com.tw/rent-detail-3425468.html","VIP"
"新裝潢、新傢俱，1層2間，活動空間大！","獨立套房   |  3.5坪   |  樓層：3/4","8,000 元/月","大安區-通化街57巷13號","屋主高媽媽/58分鐘內更新/1條問答/167人瀏覽","167人","https://rent.591.com.tw/rent-detail-11232467.html","VIP"
"忠孝敦化同領後靜巷獨立套房","獨立套房   |  5坪   |  樓層：5/5","8,500 元/月","大安區-忠孝東路四段205巷","代理人葛先生/58分鐘內更新/1條問答/285人瀏覽","人","https://rent.591.com.tw/rent-detail-11219364.html","VIP"
"微風廣場旁便宜套房","獨立套房   |  7坪   |  樓層：5/5","10,000 元/月","大安區-復興南路一段","屋主曹小姐/58分鐘內更新/3條問答/121人瀏覽","121人","https://rent.591.com.tw/rent-detail-11151637.html","VIP"
"自租101世貿300m套房設全限女整排窗","獨立套房   |  6坪   |  樓層：5/7","9,200 元/月","大安區-光復南路560巷","屋主伍先生/58分鐘內更新/75人瀏覽","75人","https://rent.591.com.tw/rent-detail-11211602.html","VIP"
"屋主自租*清幽挑高大套房~全新裝潢大空間","獨立套房   |  10坪   |  樓層：1/1","9,500 元/月","大安區-和平東路三段632巷","屋主李先生/2小時內更新/429人瀏覽","429人","https://rent.591.com.tw/rent-detail-11263941.html","VIP"
"┌忠孝復興站┬有電梯┬近SOGO┬東區┐","獨立套房   |  5坪   |  樓層：7/7","10,000 元/月","大安區-仁愛路三段143巷","仲介高先生/3小時內更新/1條問答/114人瀏覽","114人","https://rent.591.com.tw/rent-detail-11213601.html","Normal"
"大降價♥捷運東門♥大安公園♥採光好♥","獨立套房   |  7坪   |  樓層：3/3","10,000 元/月","加賴有屋內影片 大安區-永康街","仲介劉先生/4小時內更新/129人瀏覽","129人","https://rent.591.com.tw/rent-detail-11258858.html","Normal"
"近大安站/三捷交匯/生活便利/採光通風佳","獨立套房   |  5坪   |  樓層：4/4","9,000 元/月","大安區-大安路二段141巷","仲介黃先生/4小時內更新/2條問答/117人瀏覽","117人","https://rent.591.com.tw/rent-detail-11171099.html","Normal"
"安和站旁/獨立洗衣機/可短期月租另議","獨立套房   |  5坪   |  樓層：4/4","9,000 元/月","大安區-臨江街118巷","仲介邱先生/4小時內更新/51人瀏覽","51人","https://rent.591.com.tw/rent-detail-11215353.html","Normal"
"安和站旁/可短期月租/臨江夜市","獨立套房   |  5坪   |  樓層：4/4","9,000 元/月","大安區-臨江街118巷","仲介羅先生/4小時內更新/1條問答/63人瀏覽","63人","https://rent.591.com.tw/rent-detail-11215346.html","Normal"
"近忠孝敦化站/格局方正/機能便利/搶先~","獨立套房   |  6坪   |  樓層：4/5","8,800 元/月","大安區-敦化南路190巷","仲介黃先生/4小時內更新/106人瀏覽","106人","https://rent.591.com.tw/rent-detail-11240670.html","Normal"
"近東門站/小資族首選/生活機能良好","獨立套房   |  5坪   |  樓層：3/4","9,900 元/月","大安區-潮州街","仲介黃先生/4小時內更新/1條問答/77人瀏覽","77人","https://rent.591.com.tw/rent-detail-11247162.html","Normal"
"近忠孝敦化站/機能便利/學生首選/搶先~","獨立套房   |  5坪   |  樓層：2/4","9,500 元/月","大安區-金山南路一段67巷","仲介黃先生/4小時內更新/89人瀏覽","89人","https://rent.591.com.tw/rent-detail-11255850.html","Normal"
"cp值高！限女性，要有正當職業","獨立套房   |  5坪   |  樓層：4/4","9,000 元/月","大安區 大安區-敦化南路一段160巷","屋主陳先生/5小時內更新/73人瀏覽","73人","https://rent.591.com.tw/rent-detail-11242292.html","Normal"
"🌈信義安和站/通化夜市.乾淨/安靜套房","獨立套房   |  6坪   |  樓層：3/3","8,500 元/月","近基隆路二段/信義路/通化夜市 大安區-通化街101巷","仲介加賴專員服務/5小時內更新/10人瀏覽","10人","https://rent.591.com.tw/rent-detail-11283017.html","Normal"
"台電大樓捷運舒適亮麗公寓套房/獨立洗衣機","獨立套房   |  6坪   |  樓層：1/5","10,000 元/月","大安區-泰順街","仲介小明先生/6小時內更新/258人瀏覽","258人","https://rent.591.com.tw/rent-detail-11277510.html","Normal"
"麟光站、機能強、裝潢、對外窗","獨立套房   |  4坪   |  樓層：頂樓加蓋/5","9,499 元/月","大安區-和平東路三段406巷","仲介吳先生/6小時內更新/130人瀏覽","130人","https://rent.591.com.tw/rent-detail-11261072.html","Normal"
"六張犁/靜巷/舒適/二樓免爬高","獨立套房   |  4坪   |  樓層：2/4","9,499 元/月","大安區-臥龍街195巷","仲介吳先生/6小時內更新/50人瀏覽","50人","https://rent.591.com.tw/rent-detail-11238604.html","Normal"
"安和樂利套房","獨立套房   |  6坪   |  樓層：3/4","9,000 元/月","大安區-樂利街5巷","屋主楊先生/8小時內更新/101人瀏覽","101人","https://rent.591.com.tw/rent-detail-11054471.html","Normal"
"近永康商圈女子套房","獨立套房   |  5坪   |  樓層：頂樓加蓋/4","8,500 元/月","大安區-永康街37巷","仲介劉小姐/8小時內更新/57人瀏覽","57人","https://rent.591.com.tw/rent-detail-11229808.html","Normal"
"捷運台電大樓走2分、近台大師大台科大","獨立套房   |  4.5坪   |  樓層：3/5","9,800 元/月","大安區-羅斯福路三段269巷9號","屋主林先生/8小時內更新/214人瀏覽","214人","https://rent.591.com.tw/rent-detail-11281729.html","Normal"
"捷運台電大樓站1分／師範大學／獨立洗衣機","獨立套房   |  4坪   |  樓層：4/5","9,999 元/月","大安區-師大路","仲介許先生/8小時內更新/68人瀏覽","68人","https://rent.591.com.tw/rent-detail-11261018.html","Normal"
"優雅便利套房","獨立套房   |  6坪   |  樓層：4/4","10,000 元/月","大安區-臨江街40巷55號","屋主唐太太/10小時內更新/47人瀏覽","47人","https://rent.591.com.tw/rent-detail-11260243.html","Normal"
"捷運台電大樓站全新飯店式套房","獨立套房   |  10坪   |  樓層：3/4","10,000 元/月","大安區-辛亥路一段66號","屋主楊老師/10小時內更新/232人瀏覽","232人","https://rent.591.com.tw/rent-detail-11225924.html","Normal"
"捷運忠孝復興*採光好*生活方便！有影片","獨立套房   |  7坪   |  樓層：頂樓加蓋/5","10,000 元/月","大安區-大安路一段51巷","仲介劉先生/15小時內更新/106人瀏覽","106人","https://rent.591.com.tw/rent-detail-11234539.html","Normal"
"忠孝復興！女性首選！生活方便！稀有釋出","獨立套房   |  4坪   |  樓層：4/4","8,999 元/月","大安區-大安路一段51巷","仲介劉先生/15小時內更新/87人瀏覽","87人","https://rent.591.com.tw/rent-detail-11255066.html","Normal"
"忠孝復興、小資首選、生活方便、女限女性","獨立套房   |  6坪   |  樓層：頂樓加蓋/4","9,000 元/月","大安區-大安路一段","仲介劉先生/15小時內更新/34人瀏覽","34人","https://rent.591.com.tw/rent-detail-11255069.html","Normal"
"大安區六張犁捷運站明亮獨立套房","獨立套房   |  5坪   |  樓層：3/5","9,500 元/月","大安區-和平東路三段228巷","屋主洪小姐/16小時內更新/69人瀏覽","69人","https://rent.591.com.tw/rent-detail-11282762.html","Normal"
"延吉街近國父紀念館站套房","獨立套房   |  7坪   |  樓層：頂樓加蓋/5","8,500 元/月","大安區-延吉街97巷22號","屋主王先生/23小時內更新/116人瀏覽","116人","https://rent.591.com.tw/rent-detail-11281985.html","Normal"
"信義安和站近北醫北教大採光精品套房限女","獨立套房   |  6坪   |  樓層：2/2","9,999 元/月","大安區-通化街","屋主林先生/23小時內更新/100人瀏覽","100人","https://rent.591.com.tw/rent-detail-11256150.html","Normal"
"科技大樓站.低樓層套房.免走樓梯","獨立套房   |  5坪   |  樓層：1/7","10,000 元/月","大安區-和平東路二段","仲介黃小姐/24小時內更新/114人瀏覽","114人","https://rent.591.com.tw/rent-detail-11220584.html","Normal"
"師大泰順溫馨套房","獨立套房   |  4坪   |  樓層：4/4","8,500 元/月","大安區-泰順街44巷26號","仲介陳先生/昨日更新/78人瀏覽","78人","https://rent.591.com.tw/rent-detail-11160347.html","Normal"
"*敦南美宅精緻套房*","獨立套房   |  6坪   |  樓層：2/7","10,000 元/月","大安區-敦化南路一段190巷","屋主蔡先生/昨日更新/78人瀏覽","78人","https://rent.591.com.tw/rent-detail-11248258.html","Normal"
"潮州街古亭師大頂加套房(位於6樓)","獨立套房   |  5坪   |  樓層：頂樓加蓋/5","9,500 元/月","大安區-潮州街91號","仲介吳先生/昨日更新/1條問答/91人瀏覽","91人","https://rent.591.com.tw/rent-detail-11249950.html","Normal"
"9間大套房全新裝潢不看可惜","獨立套房   |  9坪   |  樓層：1/2","8,000 元/月","大安區-和平東路三段632巷","屋主王先生/昨日更新/1條問答/231人瀏覽","231人","https://rent.591.com.tw/rent-detail-11012757.html","Normal"
"美麗的和平套房","獨立套房   |  9坪   |  樓層：1/2","8,000 元/月","大安區-和平東路三段632巷","屋主王先生/3天前更新/133人瀏覽","133人","https://rent.591.com.tw/rent-detail-11260247.html","Normal"
"低樓層生活機能佳近通化夜市信義安和站","獨立套房   |  5坪   |  樓層：1/3","8,000 元/月","近信義安和站 大安區-通化街123巷","仲介童先生/3天前更新/184人瀏覽","184人","https://rent.591.com.tw/rent-detail-11138865.html","Normal"
"陽台生活機能佳近通化夜市信義安和站","獨立套房   |  6坪   |  樓層：2/3","10,000 元/月","大安區-通化街123巷","仲介童先生/3天前更新/112人瀏覽","112人","https://rent.591.com.tw/rent-detail-11224951.html","Normal"
"信義安和電梯華廈","獨立套房   |  5坪   |  樓層：2/6","8,700 元/月","通化公園 大安區-文昌街","代理人杜小姐/3天前更新/159人瀏覽","人","https://rent.591.com.tw/rent-detail-11273956.html","Normal"
"套房出租,大安區師大旁,離台大也不遠","獨立套房   |  5坪   |  樓層：3/4","9,000 元/月","大安區-和平東路一段188巷5號","屋主溫先生/4天前更新/1條問答/398人瀏覽","398人","https://rent.591.com.tw/rent-detail-11261724.html","Normal"
"麟光站旁一分鐘電梯套房","獨立套房   |  6坪   |  樓層：3/7","10,000 元/月","大安區-和平東路三段416巷30號","屋主張先生/5天前更新/121人瀏覽","121人","https://rent.591.com.tw/rent-detail-11178571.html","Normal"
"捷運東門、永康商圈、師範大學、淡江大學","獨立套房   |  7坪   |  樓層：3/3","10,000 元/月","大安區-永康街","仲介劉先生/5天前更新/94人瀏覽","94人","https://rent.591.com.tw/rent-detail-11263979.html","Normal"
"信義安和*2F套房","獨立套房   |  6坪   |  樓層：2/5","8,700 元/月","大安區-文昌街210巷","代理人李先生/5天前更新/135人瀏覽","人","https://rent.591.com.tw/rent-detail-11263316.html","Normal"
"獨立套房出租9500","獨立套房   |  6坪   |  樓層：6/6","9,500 元/月","大安區-羅斯福路三段","屋主許先生/10天前更新/157人瀏覽","157人","https://rent.591.com.tw/rent-detail-11240521.html","Normal"
"羅斯福路三段近台電大樓","獨立套房   |  5坪   |  樓層：3/6","9,000 元/月","大安區-羅斯福路三段","屋主許先生/11天前更新/2條問答/101人瀏覽","101人","https://rent.591.com.tw/rent-detail-11222837.html","Normal"
"信義安和靜巷套房","獨立套房   |  5坪   |  樓層：3/4","8,500 元/月","通化 大安區-文昌街210巷","代理人杜小姐/13天前更新/63人瀏覽","人","https://rent.591.com.tw/rent-detail-11223234.html","Normal"
"近台大、台科大(適學生)小套房即可入住","獨立套房   |  4坪   |  樓層：2/2","9,000 元/月","大安區-基隆路三段155巷","屋主洪先生/22天前更新/6條問答/142人瀏覽","142人","https://rent.591.com.tw/rent-detail-11182981.html","Normal"
"臺北師範大學附近","獨立套房   |  5坪   |  樓層：1/5","9,500 元/月","大安區-泰順街38巷","屋主陳小姐/29天前更新/56人瀏覽","56人","https://rent.591.com.tw/rent-detail-11153429.html","Normal"
"工美睫作室共享空間全新裝潢錯過可惜","獨立套房   |  20坪   |  樓層：6/7","8,000 元/月","大安區-忠孝東路四段205巷","屋主許先生/30天前更新/175人瀏覽","175人","https://rent.591.com.tw/rent-detail-11146375.html","Normal"