"name","description","href","star","lang"
"fukuball/lyrics-match","本系統「再三推詞」是一個以曲找詞的舊曲新詞推薦系統，本系統提供使用者以輸入的歌曲，查詢適合搭配的歌詞。系統將根據詞曲搭配性，推薦適合搭配的歌詞，並以歌聲模擬軟體試唱。","https://github.com/fukuball/lyrics-match","18","PHP"
"fukuball/Tom-Chang-Deep-Lyrics","基於 LSTM 深度學習方法研發而成的張雨生歌詞產生模型，致敬張雨生","https://github.com/fukuball/Tom-Chang-Deep-Lyrics","84","Python"
"hhpslily/mojim_crawler","魔鏡歌詞網爬蟲","https://github.com/hhpslily/mojim_crawler","3","Python"
"furyutei/KashiKaikin","【歌詞解禁】 歌詞検索サービスの歌詞テキストコピーを可能に","https://github.com/furyutei/KashiKaikin","16","JavaScript"
"LKKTGB/kuasu","歌詞正字","https://github.com/LKKTGB/kuasu","8","Python"
"TextAliveJp/textalive-app-api","音楽に合わせてタイミングよく歌詞が動くWebアプリケーションを開発できるJavaScript API","https://github.com/TextAliveJp/textalive-app-api","61",""
"loxygenK/musical_typer","歌詞を全力でタイピングするゲームです","https://github.com/loxygenK/musical_typer","5","Python"
"Ran350/Lyrics-visualize","歌詞可視化","https://github.com/Ran350/Lyrics-visualize","3","Python"
"TextAliveJp/textalive-app-lyric-sheet","インタラクティブな歌詞カードを実装した TextAlive App API の作例","https://github.com/TextAliveJp/textalive-app-lyric-sheet","","JavaScript"
"twjefchiu/lyric_genator","AI 中文歌詞產生器","https://github.com/twjefchiu/lyric_genator","","Jupyter Notebook"
"sky880319/lrcmaker","LRC 歌詞檔案製作工具","https://github.com/sky880319/lrcmaker","4","C#"
"noriokun4649/mb_KashiNaviLyricsPlugin","MusicBeeにて歌詞ナビから歌詞取得するプラグイン","https://github.com/noriokun4649/mb_KashiNaviLyricsPlugin","2","C#"
"harry900831/mojim_lyrics_crawler","Mojim.com 魔鏡歌詞網 歌詞爬蟲","https://github.com/harry900831/mojim_lyrics_crawler","2","Python"
"kvvzr/emoly","歌詞ツイートをするぞ","https://github.com/kvvzr/emoly","2","JavaScript"
"HectorJorgeMoralesArch/Uta_No_Ka-shi","歌の歌詞","https://github.com/HectorJorgeMoralesArch/Uta_No_Ka-shi","",""
"motokix/mizutama","歌詞","https://github.com/motokix/mizutama","",""
"masaibar/lyrics_getter","歌詞検索サイトから簡単に歌詞をコピーできるChrome拡張","https://github.com/masaibar/lyrics_getter","2","JavaScript"
"cheukyin699/chords-site","中文詞歌歌詞大全","https://github.com/cheukyin699/chords-site","","JavaScript"
"yeeeeeCheng/yeeeeeCheng.github.io","放歌詞ㄉ","https://github.com/yeeeeeCheng/yeeeeeCheng.github.io","","CSS"
"FlandreDaisuki/Furikana-Lyric","打日文歌詞省點力","https://github.com/FlandreDaisuki/Furikana-Lyric","2","JavaScript"
"ex860/JPLyrics","輕鬆取得日文歌詞","https://github.com/ex860/JPLyrics","2","JavaScript"
"jenocode/hymn21","賛美歌２１ 歌詞リスト","https://github.com/jenocode/hymn21","","HTML"
"ryfjwr/copy","歌詞の写生","https://github.com/ryfjwr/copy","",""
"irnoise/Lyrie","歌詞検索アプリ","https://github.com/irnoise/Lyrie","","Java"
"vickyliin/SingYourFeelings","「把你心情哼成歌」（Sing Your Feelings）是一個結合文字辨識和音樂生成的系統，把一段有意義的句子、詩詞或文章轉換成一段好聽的音樂，並能體現出這段文字的意涵。","https://github.com/vickyliin/SingYourFeelings","24","Jupyter Notebook"
"kusoinlol/lrc2krc","轉換LRC動態歌詞為KRC動態歌詞","https://github.com/kusoinlol/lrc2krc","",""
"masaibar/kasitime_lyrics_getter","歌詞タイムから歌詞をコピーするChrome拡張","https://github.com/masaibar/kasitime_lyrics_getter","","JavaScript"
"KohheiAdachi/getWordofSong","歌詞サイトから歌詞を取得するスクリプト","https://github.com/KohheiAdachi/getWordofSong","","Python"
"castaneai/utype","歌詞をタイピングするゲーム","https://github.com/castaneai/utype","","TypeScript"
"MuneyasuKagawa/LyricGetter","ボカロ歌詞取得アプリ","https://github.com/MuneyasuKagawa/LyricGetter","","C#"
"eggplant60/vae_lyrics","LSTM-VAE で歌詞生成","https://github.com/eggplant60/vae_lyrics","","Jupyter Notebook"
"Young-TW/Lyrics","歌詞 打上花火 Lemon","https://github.com/Young-TW/Lyrics","1","HTML"
"sumajirou/kashi","歌詞検索CLIツール","https://github.com/sumajirou/kashi","","Shell"
"aiyu666/CCViewer","一個方便在其他頁面也能邊看youtube的cc字幕的chrome擴充 唱歌再也不用煩惱忘歌詞啦","https://github.com/aiyu666/CCViewer","8","JavaScript"
"houooin/lyrics_generator","日本語の歌詞をスクレイピングして歌詞生成をやってみる","https://github.com/houooin/lyrics_generator","","Python"
"Riscait/SoundsLyric","歌詞とメロディーを一緒に編集できるメモアプリ","https://github.com/Riscait/SoundsLyric","2","Swift"
"Wyuya0321/compose_music","コードと歌詞をメモします。","https://github.com/Wyuya0321/compose_music","","JavaScript"
"entroweeab/kashi","日本語曲の歌詞リーポ","https://github.com/entroweeab/kashi","1",""
"arashian/Extract-English-Lyrics","英字の歌詞を抽出","https://github.com/arashian/Extract-English-Lyrics","",""
"Sil-Nyan/WordAnalysis","RW歌詞解析【製作中】","https://github.com/Sil-Nyan/WordAnalysis","","Java"
"unromanticman/LyricsVerse","LyricsVerse 蒐集歌詞的網站 JSP","https://github.com/unromanticman/LyricsVerse","","Java"
"oatsu-gh/very_suppin_lyric","超歌詞すっぴんプラグイン","https://github.com/oatsu-gh/very_suppin_lyric","","Python"
"yosi2112/kashinako","MuseScore歌詞入力支援スクリプト","https://github.com/yosi2112/kashinako","",""
"nshhhin/GetLyric-Py","歌詞を取得するPythonプログラム","https://github.com/nshhhin/GetLyric-Py","","Python"
"zephyros0305/lyric_search","歌詞搜尋器(運用爬蟲)","https://github.com/zephyros0305/lyric_search","1","Python"
"sayuen0/React_Lyrics","歌詞検索アプリ（Reduxもどき）","https://github.com/sayuen0/React_Lyrics","","JavaScript"
"coolcue123/topic","魔鏡歌詞網下載作業","https://github.com/coolcue123/topic","","Python"
"s-yoshiki/AnalyseJapaneseSongLyrics","日本語歌の歌詞の取得〜分析","https://github.com/s-yoshiki/AnalyseJapaneseSongLyrics","","Python"
"trebleC/LyricsCalendar","自定义#撻著一句廣東歌歌詞","https://github.com/trebleC/LyricsCalendar","","TypeScript"
"Chrischanko/hoshino_scraping","ウェブスクレイピングで歌詞を抜き出し、星野源さんのシルエットに歌詞を表示","https://github.com/Chrischanko/hoshino_scraping","","Python"
"oatsu-gh/daimyojinizer","歌詞を大明神式歌連続音に対応させるUTAUプラグイン","https://github.com/oatsu-gh/daimyojinizer","","Python"
"n3xem/analyse_vogue_lyric","大学の課題 流行りの歌の歌詞を分析します","https://github.com/n3xem/analyse_vogue_lyric","1","Python"
"JiroShimaya/PlayerTable","やきゅうたの選手表を替え歌歌詞から作るシステム","https://github.com/JiroShimaya/PlayerTable","","HTML"
"RyosukeTakahashi/JpopTextMining","J-POPの歌詞をテキストマイニングして、ワードクラウドを作成する","https://github.com/RyosukeTakahashi/JpopTextMining","1","Python"
"shigobu/FillingLyricToMIDI","MIDIファイルに歌詞を流し込むアプリ","https://github.com/shigobu/FillingLyricToMIDI","","C#"
"Juna-Idler/RhythmiKaRuTTE","RhythmicalにKaraoke歌詞（with Ruby）のTimeTagをEditする","https://github.com/Juna-Idler/RhythmiKaRuTTE","","JavaScript"
"milleyin/Aplayer","一個wp的播放器插件（帶歌詞顯示）","https://github.com/milleyin/Aplayer","","CSS"
"Juna-Idler/LyricsView","ルビ付きのタイムタグ付き歌詞テキストを表示","https://github.com/Juna-Idler/LyricsView","","C++"
"h-bambara/crawling","歌詞をクローリングするために使用する予定","https://github.com/h-bambara/crawling","",""
"shimamorieiki/anakashiko","歌詞の好みから楽曲を推薦","https://github.com/shimamorieiki/anakashiko","","TypeScript"
"evanhutomo/nihon-kyoku","日本曲の歌詞のプライベート収集です。","https://github.com/evanhutomo/nihon-kyoku","1","TeX"
"tkumata/getLyrics","バシュっと歌詞のテキストデータを取得できる bash スクリプト","https://github.com/tkumata/getLyrics","",""
"zdogma/AikatsuLyric","アイカツ歌詞と関連動画を閲覧できる iOS アプリ","https://github.com/zdogma/AikatsuLyric","1","Swift"
"Bob-YsPan/2020-PPT","2020 高中生大合唱 PPT 歌詞版","https://github.com/Bob-YsPan/2020-PPT","",""
"Darsein/lovelive-wordcloud","ラブライブの歌詞からワードクラウドを作成するプログラム","https://github.com/Darsein/lovelive-wordcloud","","Python"
"eggplant60/uta-net","歌詞を分かち書きし、データセットを作る","https://github.com/eggplant60/uta-net","","HTML"
"irnoise/weblyrie","歌詞検索用のWEBアプリケーション：Struts2を使用","https://github.com/irnoise/weblyrie","","Java"
"healthypackrat/duo-lyrics","DUO 3.0 CD/復習用の音声に歌詞を設定","https://github.com/healthypackrat/duo-lyrics","","JavaScript"
"KiruyaMomochi/KiruyaMomochi","Yes! Precious Harmony! 歌詞翻譯來自「徒花✨Crossick最推し」","https://github.com/KiruyaMomochi/KiruyaMomochi","",""
"Hi-king/miku_lyrics_analysis","ボカロ曲の歌詞内容の統計を取るよ","https://github.com/Hi-king/miku_lyrics_analysis","","Python"
"syimyuzya/lrc-html5","使用HTML5 audio元素實現的LRC格式歌詞時間標籤製作工具。","https://github.com/syimyuzya/lrc-html5","2","HTML"
"KentoW/json2vsqx","PythonでJSON形式の歌詞付きMIDIデータからVOCALOID3形式(VSQXファイル)を作成するスクリプト","https://github.com/KentoW/json2vsqx","2","Python"
"logicbd01/lyricsFileiTunesToWalkman","歌詞ファイルが埋め込まれたMP3ファイルからウォークマン用の歌詞ファイルを作成するやつを作りたい","https://github.com/logicbd01/lyricsFileiTunesToWalkman","",""
"minatty/mm2020procon","TextAliveAppAPIで取得できる歌詞情報に合わせて３Dモデルを歌わせるリリックアプリです。","https://github.com/minatty/mm2020procon","1","JavaScript"
"kwei/Discord_Lyrics_Robot","專屬於discord的聊天機器人，用途是查詢歌詞。","https://github.com/kwei/Discord_Lyrics_Robot","","JavaScript"
"book000/iLyric","iTunesで流している曲の歌詞を表示します。","https://github.com/book000/iLyric","","C#"
"masal9pse/song-picture-text","歌詞共有サイトみたいなものをイメージして作りました。","https://github.com/masal9pse/song-picture-text","1 issue
              needs help","PHP"
"riseshia/meta-lyrics","メタカシ - コピペ可能な歌詞サイトを対象にグーグル検索を掛けるサービス","https://github.com/riseshia/meta-lyrics","","HTML"
"a0726h77/lrcdis-with-a-little-hack","使用此 script 在終端機做動態歌詞顯示 (支援 mocp)","https://github.com/a0726h77/lrcdis-with-a-little-hack","1",""
"mes51/CreateLyricMarker","vsqxから歌詞つきのマーカーの乗ったテキストレイヤーを作るスクリプト","https://github.com/mes51/CreateLyricMarker","","JavaScript"