"Title","Description","Type","Size","Floor","Area"
"光華商場靜巷套房","屋主直租
                    
                        近捷運
                    
                        隨時可遷入","分租套房","3坪","1F/3F","屋主 林小姐
                    /
                    20分鐘內更新
                    /
                    昨日145人瀏覽"
"民生東路三段近松山機場,南京敦化精緻套房","屋主直租
                    
                        近捷運
                    
                        隨時可遷入","分租套房","7坪","1F/4F","屋主 吳媽媽
                    /
                    20分鐘內更新
                    /
                    昨日94人瀏覽"
"對外窗套房,乾淨明亮","屋主直租
                    
                        近捷運
                    
                        隨時可遷入","分租套房","4坪","5F/5F","屋主 崔先生
                    /
                    40分鐘內更新
                    /
                    昨日224人瀏覽"
"師大永康五星時尚套房","屋主直租
                    
                        近捷運
                    
                        隨時可遷入","分租套房","7坪","4F/4F","屋主 李小姐
                    /
                    50分鐘內更新
                    /
                    昨日108人瀏覽"
"全新整修住了光宗耀祖沒租到後悔一輩子","隨時可遷入
                    
                        可開伙
                    
                        可養寵物
                    
                        可短租","分租套房","7坪","1F/5F","代理人 范先生
                    /
                    50分鐘內更新
                    /
                    昨日96人瀏覽"
"鄰光全新裝修套房出租","屋主直租
                    
                        近捷運
                    
                        新上架
                    
                        拎包入住
                    
                        隨時可遷入
                    
                        可開伙","分租套房","5坪","5F/5F","屋主 陳小姐
                    /
                    2小時內更新
                    /
                    昨日131人瀏覽"
"共生公寓咖啡館ShareHouse合租","近捷運
                    
                        拎包入住
                    
                        隨時可遷入
                    
                        可開伙
                    
                        有陽台","分租套房","13坪","2F/5F","代理人 陳先生
                    /
                    2小時內更新
                    /
                    昨日143人瀏覽"
"師大永康五星時尚套房","屋主直租
                    
                        近捷運
                    
                        隨時可遷入","分租套房","8坪","4F/4F","屋主 李小姐
                    /
                    2小時內更新
                    /
                    昨日99人瀏覽"
"超優值划算的透天厝一樓套房近景美捷運愛買","屋主直租
                    
                        近捷運
                    
                        隨時可遷入
                    
                        有陽台","分租套房","6坪","1F/1F","屋主 吳先生
                    /
                    2小時內更新
                    /
                    昨日89人瀏覽"
"精美小套房0908999869","近捷運
                    
                        新上架
                    
                        隨時可遷入
                    
                        可開伙
                    
                        可養寵物","分租套房","6坪","3F/4F","仲介 黃先生
                    /
                    2小時內更新
                    /
                    昨日24人瀏覽"
"限女性.東區時尚商圈旁.全天警衛保全","近捷運
                    
                        拎包入住
                    
                        有電梯
                    
                        隨時可遷入
                    
                        可開伙
                    
                        有陽台","分租套房","7坪","6F/12F","仲介 黃先生
                    /
                    2小時內更新
                    /
                    昨日21人瀏覽"
"西門龍山寺捷運全新美裝潢一卡皮箱入","近捷運
                    
                        有電梯
                    
                        隨時可遷入
                    
                        可開伙","分租套房","7坪","5F/12F","仲介 曾先生
                    /
                    2小時內更新
                    /
                    昨日80人瀏覽"
"古亭5號出口步行1分鐘靜巷高性價比","屋主直租
                    
                        近捷運
                    
                        隨時可遷入
                    
                        有陽台","分租套房","6坪","4F/4F","屋主 陳小姐
                    /
                    3小時內更新
                    /
                    昨日52人瀏覽"
"歡迎參觀！！行天宮捷運精緻陽光溫馨套房","屋主直租
                    
                        近捷運
                    
                        隨時可遷入","分租套房","6坪","4F/4F","屋主 陳先生
                    /
                    3小時內更新
                    /
                    昨日118人瀏覽"
"超值雅房出租","屋主直租
                    
                        近捷運","分租套房","4坪","2F/4F","屋主 林先生
                    /
                    3小時內更新
                    /
                    昨日96人瀏覽"
"東區國父紀念館捷運，套房吉屋出租!","近捷運
                    
                        隨時可遷入","分租套房","5坪","4F/4F","代理人 陳先生
                    /
                    3小時內更新
                    /
                    昨日104人瀏覽"
"大直街兩人或單人套房專供實踐學生入住","屋主直租
                    
                        近捷運
                    
                        新上架
                    
                        隨時可遷入
                    
                        有陽台","分租套房","7.5坪","4F/4F","屋主 翁先生
                    /
                    3小時內更新
                    /
                    昨日39人瀏覽"
"西門捷運站精緻套房出租","屋主直租
                    
                        近捷運
                    
                        有電梯
                    
                        隨時可遷入
                    
                        可短租","分租套房","6坪","10F/12F","屋主 廖先生
                    /
                    3小時內更新
                    /
                    昨日43人瀏覽"
"分租環境優雅獨立樓層亮麗套房","屋主直租
                    
                        近捷運
                    
                        拎包入住
                    
                        隨時可遷入
                    
                        可開伙
                    
                        有陽台","分租套房","15坪","2F/5F","屋主 吳先生
                    /
                    3小時內更新
                    /
                    昨日65人瀏覽"
"世新大學,考試院附近","屋主直租
                    
                        新上架
                    
                        隨時可遷入
                    
                        可開伙
                    
                        有陽台","分租套房","6坪","1F/2F","屋主 林先生
                    /
                    3小時內更新
                    /
                    昨日117人瀏覽"
"大直街實踐大學旁精緻套房","屋主直租
                    
                        近捷運
                    
                        隨時可遷入","分租套房","8坪","5F/5F","屋主 洪小姐
                    /
                    3小時內更新
                    /
                    昨日69人瀏覽"
"優惠套房，紅磚隔間，大空間，大窗戶採光好","近捷運
                    
                        隨時可遷入
                    
                        可開伙
                    
                        可養寵物
                    
                        可短租","分租套房","7坪","3F/5F","代理人 Mark
                    /
                    3小時內更新
                    /
                    昨日147人瀏覽"
"龍山寺捷運站200米，溫馨單身女性套房","屋主直租
                    
                        近捷運
                    
                        隨時可遷入
                    
                        有陽台","分租套房","5坪","4F/4F","屋主 林太太
                    /
                    3小時內更新
                    /
                    昨日56人瀏覽"
"3樓近銘傳大學套房-近劍潭捷運3分鐘.","屋主直租
                    
                        近捷運
                    
                        隨時可遷入","分租套房","6坪","3F/4F","屋主 何先生
                    /
                    3小時內更新
                    /
                    昨日45人瀏覽"
"精裝大坪數高級套房帶全套家電","屋主直租
                    
                        新上架
                    
                        有電梯
                    
                        隨時可遷入
                    
                        可開伙","分租套房","9坪","3F/15F","屋主 吳先生
                    /
                    3小時內更新
                    /
                    昨日74人瀏覽"
"可短租，台北101，CP值特高，精裝套房","近捷運
                    
                        隨時可遷入
                    
                        可短租","分租套房","3坪","B1/12F","代理人 陳先生
                    /
                    3小時內更新
                    /
                    昨日25人瀏覽"
"粉紅精緻、優質居家套房","屋主直租
                    
                        近捷運
                    
                        隨時可遷入
                    
                        可開伙","分租套房","5坪","1F/5F","屋主 房小姐
                    /
                    3小時內更新
                    /
                    昨日51人瀏覽"
"忠孝新生，善導寺捷運站旁，北商校門口旁","屋主直租
                    
                        近捷運
                    
                        有電梯
                    
                        隨時可遷入
                    
                        有陽台
                    
                        可短租","分租套房","6坪","5F/7F","屋主 邱先生
                    /
                    3小時內更新
                    /
                    昨日164人瀏覽"
"近劍潭捷運3分鐘,靜巷有對外窗.","屋主直租
                    
                        近捷運
                    
                        新上架
                    
                        隨時可遷入","分租套房","6坪","4F/4F","屋主 何先生
                    /
                    3小時內更新
                    /
                    昨日137人瀏覽"
"慶祝東奧88節首租新裝修共居套房、雅房","屋主直租
                    
                        近捷運
                    
                        隨時可遷入
                    
                        可開伙
                    
                        有陽台","分租套房","8坪","4F/5F","屋主 謝小姐
                    /
                    3小時內更新
                    /
                    昨日101人瀏覽"