"Title","Type","Area","Tel","PIC","href"
"上光基督教會","教會","台灣 - 新竹縣","0910427360","高正勝 (達那伊谷) 牧師","https://church.oursweb.net/church.php?pkey=811307"
"財團法人台灣省中華基督教恩霖堂","教會","台灣 - 新竹縣","03-592-3728","葉輔宏 牧師","https://church.oursweb.net/church.php?pkey=811371"
"中華聖潔會竹北教會","教會","台灣 - 新竹縣","03-588-9828","鄧欽志","https://church.oursweb.net/church.php?pkey=811464"
"中華聖潔會新豐教會新豐堂","教會","台灣 - 新竹縣","03-559-1898","劉修泉 牧師","https://church.oursweb.net/church.php?pkey=811471"
"中華聖潔會關西教會","教會","台灣 - 新竹縣","03-587-2773","孫秀琴 傳道","https://church.oursweb.net/church.php?pkey=811473"
"台灣基督長老教會五峰教會","教會","台灣 - 新竹縣","03-585-1782","以紹．芝佑牧師","https://church.oursweb.net/church.php?pkey=811551"
"台灣基督長老教會田埔教會（泰中）","教會","台灣 - 新竹縣","03-584-7816","徐正義","https://church.oursweb.net/church.php?pkey=812060"
"竹北聖教會","教會","台灣 - 新竹縣","03-555-3092","陳雲明 牧師","https://church.oursweb.net/church.php?pkey=812137"
"台灣基督長老教會竹東教會","教會","台灣 - 新竹縣","03-596-9126","何碧安 牧師","https://church.oursweb.net/church.php?pkey=812141"
"改革宗長老會花園教會","教會","台灣 - 新竹縣","03-585-1371","","https://church.oursweb.net/church.php?pkey=812205"
"台灣基督長老教會二重埔教會","教會","台灣 - 新竹縣","03-582-6932","連江河 牧師","https://church.oursweb.net/church.php?pkey=811245"
"中華基督教信義會厚賜堂","教會","台灣 - 新竹縣","03-596-0457","","https://church.oursweb.net/church.php?pkey=811370"
"基督教中華聖潔會北埔教會","教會","台灣 - 新竹縣","0971-779-712","詹智華","https://church.oursweb.net/church.php?pkey=811461"
"中華聖潔會新埔教會","教會","台灣 - 新竹縣","03-588-3196","徐蘭勝 牧師","https://church.oursweb.net/church.php?pkey=811470"
"中華聖潔會鳳山村教會","教會","台灣 - 新竹縣","03-597-6906","蘇秀娟 教師","https://church.oursweb.net/church.php?pkey=811472"
"台灣基督長老教會五尖教會","教會","台灣 - 新竹縣","03-594-0706","明當．尤淦 牧師","https://church.oursweb.net/church.php?pkey=811544"
"六家福音中心","教會","台灣 - 新竹縣","03-591-6330, 0920-030972","湯心如","https://church.oursweb.net/church.php?pkey=811590"
"台灣基督長老教會竹北教會","教會","台灣 - 新竹縣","03-555-3706","林坤麟 牧師","https://church.oursweb.net/church.php?pkey=812136"
"竹東五福禮拜堂","教會","台灣 - 新竹縣","03-5940104","賴傳榮","https://church.oursweb.net/church.php?pkey=812140"
"改革宗長老會竹東教會","教會","台灣 - 新竹縣","03-596-4821","鄒仁裕","https://church.oursweb.net/church.php?pkey=812200"
"中華拓荒團橫山社區福音中心","教會","台灣 - 新竹縣","03-593-1447","鍾聖一 傳道","https://church.oursweb.net/church.php?pkey=812379"
"台灣基督長老教會石磊教會","教會","台灣 - 新竹縣","03-584-7003","羅路加","https://church.oursweb.net/church.php?pkey=812466"
"台灣基督長老教會湖口教會","教會","台灣 - 新竹縣","03-599-2442","彭榮光 牧師","https://church.oursweb.net/church.php?pkey=812533"
"新竹靈糧堂","教會","台灣 - 新竹縣","03-558-8577","苗其傑 牧師","https://church.oursweb.net/church.php?pkey=812644"
"台灣基督長老教會新豐教會（竹中）","教會","台灣 - 新竹縣","03-557-9095","林立倫 牧師","https://church.oursweb.net/church.php?pkey=812697"
"台灣基督長老教會煤源教會","教會","台灣 - 新竹縣","03-584-2423","溫嬌玲 牧師","https://church.oursweb.net/church.php?pkey=812720"
"台灣基督長老教會那羅教會","教會","台灣 - 新竹縣","03-584-1034","邱榮忠 牧師","https://church.oursweb.net/church.php?pkey=812807"
"台灣基督長老教會嘉樂教會","教會","台灣 - 新竹縣","0989-821863","江瑞乾 牧師","https://church.oursweb.net/church.php?pkey=812935"
"台灣基督長老教會帛納外教會","教會","台灣 - 新竹縣","03-391-2506","羅慶部","https://church.oursweb.net/church.php?pkey=813081"
"台灣基督長老教會鎮西堡教會","教會","台灣 - 新竹縣","03-584-7713","諾瓦．歐洛 牧師","https://church.oursweb.net/church.php?pkey=813283"
"台灣基督長老教會山光教會（泰中）","教會","台灣 - 新竹縣","03-597-1644","賴安淋 牧師","https://church.oursweb.net/church.php?pkey=812262"
"台灣基督長老教會水田教會","教會","台灣 - 新竹縣","03-584-1852","黃志宏 牧師","https://church.oursweb.net/church.php?pkey=812431"
"台灣基督長老教會司馬庫斯教會","教會","台灣 - 新竹縣","03-584-7622","亞拉.比呼 牧師","https://church.oursweb.net/church.php?pkey=812514"
"湖口浸信會","教會","台灣 - 新竹縣","03-599-0445","林東尼 牧師","https://church.oursweb.net/church.php?pkey=812534"
"台灣基督長老教會新埔教會","教會","台灣 - 新竹縣","03-588-2304","呂哲毅 傳道師","https://church.oursweb.net/church.php?pkey=812662"
"新豐崇真堂","教會","台灣 - 新竹縣","03-559-7691","孫世淦","https://church.oursweb.net/church.php?pkey=812699"
"台灣基督長老教會義興教會","教會","台灣 - 新竹縣","03-584-2082","亞崴．尤命 傳道師","https://church.oursweb.net/church.php?pkey=812754"
"台灣基督長老教會嵨瀨教會","教會","台灣 - 新竹縣","03-585-6234","烏杜夫．勒巴克 牧師","https://church.oursweb.net/church.php?pkey=812914"
"台灣基督長老教會福堂教會","教會","台灣 - 新竹縣","03-584-1724","哈告．伍道 牧師","https://church.oursweb.net/church.php?pkey=812986"
"台灣基督長老教會錦屏教會","教會","台灣 - 新竹縣","03-584-2466","林翠蓮 傳道師","https://church.oursweb.net/church.php?pkey=813198"
"台灣基督長老教會望愛教會","教會","台灣 - 新竹縣","03-596-3614","蘇盡女 牧師","https://church.oursweb.net/church.php?pkey=813452"
"基督教峨眉教會","教會","台灣 - 新竹縣","03-580-0667","楊宗勇 牧師","https://church.oursweb.net/church.php?pkey=813685"
"台灣基督長老教會泰崗教會","教會","台灣 - 新竹縣","03-584-7304","張保羅 牧師","https://church.oursweb.net/church.php?pkey=813745"
"台灣基督長老教會馬里光教會","教會","台灣 - 新竹縣","03-584-7286","督魯安．慕妮 牧師","https://church.oursweb.net/church.php?pkey=813911"
"台灣基督長老教會勒俄腊教會","教會","台灣 - 新竹縣","03-585-1144","曾永健 牧師","https://church.oursweb.net/church.php?pkey=813966"
"基督教主恩一心堂","教會","台灣 - 新竹縣","035-514834","陳更新","https://church.oursweb.net/church.php?pkey=814043"
"台灣基督長老教會梅花教會","教會","台灣 - 新竹縣","03-584-2351","莉慕苡．哈用 牧師","https://church.oursweb.net/church.php?pkey=814249"
"竹東小組教會","教會","台灣 - 新竹縣","03-595-2468","吳秀君 牧師","https://church.oursweb.net/church.php?pkey=815722"
"竹東鎮召會","教會","台灣 - 新竹縣","03-595-6126","","https://church.oursweb.net/church.php?pkey=815820"
"寶山鄉召會","教會","台灣 - 新竹縣","03-520-0305","","https://church.oursweb.net/church.php?pkey=815823"
"台灣基督長老教會關西教會","教會","台灣 - 新竹縣","03-587-1478","吳宜璋 傳道師","https://church.oursweb.net/church.php?pkey=813310"
"台灣基督長老教會茅圃教會","教會","台灣 - 新竹縣","03-585-1137","林韋恩牧師","https://church.oursweb.net/church.php?pkey=813624"
"台灣基督長老教會桃山教會","教會","台灣 - 新竹縣","03-585-6625","巴燕.尤命 牧師","https://church.oursweb.net/church.php?pkey=813728"
"財團法人基督教中華聖潔會","宗派中心","台灣 - 新竹縣","03-588-4947","劉修泉 牧師","https://church.oursweb.net/church.php?pkey=813893"
"台灣基督長老教會馬武督教會","教會","台灣 - 新竹縣","03-547-8778","攸婭．弗奈依 傳道師","https://church.oursweb.net/church.php?pkey=813913"
"中華聖潔會竹東教會","教會","台灣 - 新竹縣","03-596-5582","林正雄 牧師","https://church.oursweb.net/church.php?pkey=814035"
"中華基督教信義會寶山勝利堂","教會","台灣 - 新竹縣","03-520-9527","黃文棋 傳道","https://church.oursweb.net/church.php?pkey=814212"
"新豐磐石浸信會","教會","台灣 - 新竹縣","03-559-0005","王獻堂","https://church.oursweb.net/church.php?pkey=815657"
"竹北市召會","教會","台灣 - 新竹縣","03-550-3601","","https://church.oursweb.net/church.php?pkey=815819"
"湖口鄉召會","教會","台灣 - 新竹縣","03-590-1054","","https://church.oursweb.net/church.php?pkey=815822"
"台灣基督長老教會六家教會","教會","台灣 - 新竹縣","03-550-6101","陳嘉靜 傳道師","https://church.oursweb.net/church.php?pkey=819585"
"基督教新豐以馬內利福音中心","教會","台灣 - 新竹縣","03-559-9200","","https://church.oursweb.net/church.php?pkey=819588"
"竹東宣教祝福教會","教會","台灣 - 新竹縣","03-594-5943","郭榮德","https://church.oursweb.net/church.php?pkey=819591"
"台灣基督長老教會拿互依教會","教會","台灣 - 新竹縣","03-584-2575","黃世雄 牧師","https://church.oursweb.net/church.php?pkey=819593"
"基督教客家福音協會","宣教福音","台灣 - 新竹縣","03-594-5546","白美月 牧師","https://church.oursweb.net/church.php?pkey=820032"
"新竹純福音教會","教會","台灣 - 新竹縣","03-657-6714","張漢業 牧師","https://church.oursweb.net/church.php?pkey=821388"
"關西鎮召會","教會","台灣 - 新竹縣","03-587-7977","","https://church.oursweb.net/church.php?pkey=823096"
"台灣基督長老教會關東橋教會","教會","台灣 - 新竹縣","03-582-2879","陳建上 傳道師","https://church.oursweb.net/church.php?pkey=823105"
"真耶穌教會關東橋教會","教會","台灣 - 新竹縣","03-582-6071","","https://church.oursweb.net/church.php?pkey=823108"
"台灣基督長老教會梅后蔓教會","教會","台灣 - 新竹縣","03-585-1222","何智暐 傳道師","https://church.oursweb.net/church.php?pkey=823110"
"內灣天人岩屋","其他","台灣 - 新竹縣","03-593-6070","黃天人","https://church.oursweb.net/church.php?pkey=817777"
"新恩全人成長中心（佈道所）","教會","台灣 - 新竹縣","03-555-9956","章文箴","https://church.oursweb.net/church.php?pkey=819587"
"芎林福音中心","教會","台灣 - 新竹縣","03-592-5828","曾盛泉","https://church.oursweb.net/church.php?pkey=819590"
"基督教福音廣傳會","教會","台灣 - 新竹縣","03-512-0952","蕭春常","https://church.oursweb.net/church.php?pkey=819592"
"台灣基督長老教會客家宣教中會","宗派中心","台灣 - 新竹縣","03-517-0655","","https://church.oursweb.net/church.php?pkey=819829"
"台灣基督長老教會山崎教會","教會","台灣 - 新竹縣","03-557-5100","凃淑容","https://church.oursweb.net/church.php?pkey=821035"
"中華天國門徒訓練宣教會","教育訓練","台灣 - 新竹縣","03-592-7295","劉仁海","https://church.oursweb.net/church.php?pkey=821532"
"芎林鄉召會","教會","台灣 - 新竹縣","03-512-1757","","https://church.oursweb.net/church.php?pkey=823101"
"竹東懷恩教會","教會","台灣 - 新竹縣","03-510-4215","劉秀櫻 牧師","https://church.oursweb.net/church.php?pkey=823107"
"真耶穌教會竹東教會","教會","台灣 - 新竹縣","03-595-5342","","https://church.oursweb.net/church.php?pkey=823109"
"台灣基督長老教會樂賀安教會","教會","台灣 - 新竹縣","","攸醬．給匠 傳道師","https://church.oursweb.net/church.php?pkey=823112"
"真耶穌教會五峰教會","教會","台灣 - 新竹縣","03-585-1161","","https://church.oursweb.net/church.php?pkey=823115"
"真耶穌教會清泉教會","教會","台灣 - 新竹縣","03-585-6214","","https://church.oursweb.net/church.php?pkey=823117"
"真耶穌教會義興教會","教會","台灣 - 新竹縣","03-584-2082","","https://church.oursweb.net/church.php?pkey=823126"
"真耶穌教會錦屏教會","教會","台灣 - 新竹縣","03-584-2179","","https://church.oursweb.net/church.php?pkey=823128"
"台灣世界展望會五尖中心","社會關懷","台灣 - 新竹縣","03-596-6684, 03-596-4452, 03-5953201","","https://church.oursweb.net/church.php?pkey=825000"
"二重靈糧堂","教會","台灣 - 新竹縣","03-582-6151","蔡金龍 牧師","https://church.oursweb.net/church.php?pkey=826246"
"十興家庭教會","教會","台灣 - 新竹縣","03-658-5165","程格非 姊妹","https://church.oursweb.net/church.php?pkey=827149"
"中華基督教信義會竹北勝利堂","教會","台灣 - 新竹縣","03-658-5220","李四海 牧師","https://church.oursweb.net/church.php?pkey=827818"
"基層福音寶山福音中心","教會","台灣 - 新竹縣","","","https://church.oursweb.net/church.php?pkey=828059"
"台灣基督長老教會達谷婻教會","教會","台灣 - 新竹縣","035-852-033","斐福宜．阿拜 牧師","https://church.oursweb.net/church.php?pkey=823111"
"真耶穌教會花園教會","教會","台灣 - 新竹縣","03-585-1485","","https://church.oursweb.net/church.php?pkey=823114"
"真耶穌教會桃山教會","教會","台灣 - 新竹縣","03-585-6355","","https://church.oursweb.net/church.php?pkey=823116"
"改革宗長老教會新樂教會","教會","台灣 - 新竹縣","03-594-2065","雲瑞金","https://church.oursweb.net/church.php?pkey=823125"
"真耶穌教會尖石教會","教會","台灣 - 新竹縣","03-584-1708","","https://church.oursweb.net/church.php?pkey=823127"
"基督復臨安息日會義興教會","教會","台灣 - 新竹縣","035-841-389","陳武義","https://church.oursweb.net/church.php?pkey=823129"
"社團法人台灣推喇奴爸爸學校推動協會","社會關懷","台灣 - 新竹縣","","黃贊彥","https://church.oursweb.net/church.php?pkey=825654"
"竹東靈糧堂","教會","台灣 - 新竹縣","03-595-5251","馬永昌 牧師","https://church.oursweb.net/church.php?pkey=826823"
"CAN基督國度事奉教會","教會","台灣 - 新竹縣","03-558-7775","郭華冠 牧師","https://church.oursweb.net/church.php?pkey=827787"
"頌揚基督宣道會竹北教會","教會","台灣 - 新竹縣","03-550-8754","","https://church.oursweb.net/church.php?pkey=828058"
"竹北台福基督教會","教會","台灣 - 新竹縣","03-668-5022","張國強 牧師","https://church.oursweb.net/church.php?pkey=828635"
"北埔鄉召會","教會","台灣 - 新竹縣","03-580-5755","","https://church.oursweb.net/church.php?pkey=828667"
"基督徒敬拜中心新竹分會","教會","台灣 - 新竹縣","03-657-7981","呂美惠","https://church.oursweb.net/church.php?pkey=828936"
"新竹錫安堂寶山分堂","教會","台灣 - 新竹縣","0930-027-072","林偉知 牧師","https://church.oursweb.net/church.php?pkey=829387"
"中華聖潔會新豐教會","教會","台灣 - 新竹縣","03-559-4007","劉修泉 牧師","https://church.oursweb.net/church.php?pkey=829490"
"竹東與神同行懷恩教會","教會","台灣 - 新竹縣","","陳啟清 傳道","https://church.oursweb.net/church.php?pkey=829671"
"社團法人新竹縣愛鄰社區關懷協會","社會關懷","台灣 - 新竹縣","03-558-8577 ext 1219","","https://church.oursweb.net/church.php?pkey=829711"
"社團法人新竹縣愛鄰社區關懷協會二重辦事處","社會關懷","台灣 - 新竹縣","03-582-6151","","https://church.oursweb.net/church.php?pkey=829713"
"充滿教會","教會","台灣 - 新竹縣","03-595-5443","","https://church.oursweb.net/church.php?pkey=829733"
"橫山鄉召會","教會","台灣 - 新竹縣","03-593-6587","","https://church.oursweb.net/church.php?pkey=830747"
"台灣佳美生命建造協會","教育訓練","台灣 - 新竹縣","03-667-2071","","https://church.oursweb.net/church.php?pkey=828524"
"新埔鎮召會","教會","台灣 - 新竹縣","03-589-2254","","https://church.oursweb.net/church.php?pkey=828666"
"台灣基督長老教會八五山神愛教會","教會","台灣 - 新竹縣","03-511-1138","Yaway Asin 黃雁葦 傳道師","https://church.oursweb.net/church.php?pkey=828869"
"中華家庭方舟協會","其他","台灣 - 新竹縣","03-667-6801","曾繼雄","https://church.oursweb.net/church.php?pkey=829268"
"台灣基督長老教會竹北教會六家禮拜堂","教會","台灣 - 新竹縣","03-550-1584","林坤麟 牧師","https://church.oursweb.net/church.php?pkey=829425"
"竹北水漾家教會","教會","台灣 - 新竹縣","0958-009-272","錢美春","https://church.oursweb.net/church.php?pkey=829506"
"竹北恩典城市","教會","台灣 - 新竹縣","0970-702-468","黃均宇 弟兄","https://church.oursweb.net/church.php?pkey=829686"
"社團法人新竹縣愛鄰社區關懷協會新埔辦事處","社會關懷","台灣 - 新竹縣","03-588-7971","","https://church.oursweb.net/church.php?pkey=829712"
"社團法人新竹縣愛鄰社區關懷協會竹東辦事處","社會關懷","台灣 - 新竹縣","03-595-5251","","https://church.oursweb.net/church.php?pkey=829714"
"竹北市召會縣政會所","教會","台灣 - 新竹縣","03-550-3601","","https://church.oursweb.net/church.php?pkey=829735"
"佳美基督教會","教會","台灣 - 新竹縣","03-667-2071","","https://church.oursweb.net/church.php?pkey=830983"
"中華基督教關西上林教會","教會","台灣 - 新竹縣","03-586-0199","范揚碧 傳道","https://church.oursweb.net/church.php?pkey=831209"
"新埔靈糧堂","教會","台灣 - 新竹縣","03-588-0301","吳品杰 傳道","https://church.oursweb.net/church.php?pkey=831309"
"新豐鄉召會","教會","台灣 - 新竹縣","03-557-9639","","https://church.oursweb.net/church.php?pkey=830748"
"卓越新竹行道會","教會","台灣 - 新竹縣","0933-746-210","葉志遠 傳道","https://church.oursweb.net/church.php?pkey=831027"
"浸信會奔跑教會","教會","台灣 - 新竹縣","03-582-1712","李星九 牧師","https://church.oursweb.net/church.php?pkey=831256"