"Title","Type","Area","Series","Rank","href","lat","lng"
"一流海鮮美食館 (惠中路)","","Taichung","米其林指南 TAIPEI & TAICHUNG","‹","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurants","24.14999","120.640459"
"富狀元豬腳","","Taichung","米其林指南 TAIPEI & TAICHUNG","=","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurants","24.149863","120.662012"
"Baan","","Taipei","米其林指南 TAIPEI & TAICHUNG","‹","https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurants","25.04051","121.550209"
"溫叨","","Taichung","米其林指南 TAIPEI & TAICHUNG","=","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurants","24.165158","120.69161"
"金悅軒","","Taichung","米其林指南 TAIPEI & TAICHUNG","‹","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurants","24.132334","120.6441356"
"Chateau Zoe","","Taipei","米其林指南 TAIPEI & TAICHUNG","‹","https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurants","25.03995","121.56221"
"小馬","","Taipei","米其林指南 TAIPEI & TAICHUNG","‹","https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurants","25.057954","121.545709"
"KR Prime Steak","","Taichung","米其林指南 TAIPEI & TAICHUNG","‹","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurants","24.160977","120.641962"
"祥雲龍吟","","Taipei","米其林指南 TAIPEI & TAICHUNG","n","https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurants","25.082851","121.559486"
"渥達尼斯磨坊","","Taipei","米其林指南 TAIPEI & TAICHUNG","m","https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurants","25.05053","121.53698"
"榮榮園","","Taipei","米其林指南 TAIPEI & TAICHUNG","=","https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurants","25.033557","121.544644"
"林家蔬菜羊肉爐","","Taipei","米其林指南 TAIPEI & TAICHUNG","‹","https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurants","25.063854","121.530475"
"欣葉台菜 (創始店)","","Taipei","米其林指南 TAIPEI & TAICHUNG","‹","https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurants","25.066534","121.524189"
"A Cut","","Taipei","米其林指南 TAIPEI & TAICHUNG","m","https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurants","25.05666","121.52288"
"笹鮨","","Taipei","米其林指南 TAIPEI & TAICHUNG","‹","https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurants","25.054823","121.522377"
"The Tavernist","","Taipei","米其林指南 TAIPEI & TAICHUNG","‹","https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurants","25.04048","121.54536"
"鮨七海","","Taipei","米其林指南 TAIPEI & TAICHUNG","‹","https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurants","25.037111","121.559124"
"森鐵板燒","","Taichung","米其林指南 TAIPEI & TAICHUNG","‹","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurants","24.148551","120.628893"
"茂川肉丸","","Taichung","米其林指南 TAIPEI & TAICHUNG","‹","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurants","24.1429411","120.6788556"
"俺達的肉屋","","Taichung","米其林指南 TAIPEI & TAICHUNG","m","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurants","24.151023","120.656408"